#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-13T21:36:27 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ613fc44e2dffff 
#INFO -out.max=1000 
#INFO queryParameters=19 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/593/A117&tab:{J/A+A/593/A117/tablea1}&key:source=J/A+A/593/A117&HTTPPRM:&
#-source=J/A+A/593/A117/tablea1
#-order=I
#-out=BJD
#-out=S/N
#-out=RVT
#-out=e_RVT
#-out=RVD
#-out=e_RVD
#-out=SindT
#-out=e_SindT
#-out=HalphaT
#-out=e_HalphaT
#-out=Sind
#-out=e_Sind
#-out=Halpha
#-out=e_Halpha
#
#
#RESOURCE=yCat_35930117
#Name: J/A+A/593/A117
#Title: GJ 3998 RVs, S and Halpha indexes (Affer+, 2016)
#Table J_A_A_593_A117_tablea1:
#Name: J/A+A/593/A117/tablea1
#Title: Observing log, RVs, S and Halpha indexes of GJ3998
#---Details of Columns:
#    BJD (d)     (F10.5) Barycentric Julian date (BJD-2456000) [ucd=time.epoch]
#    S/N         (F4.1)  Signal to noise ratio [ucd=stat.snr]
#    RVT (m/s)   (F7.3)  Radial velocities with TERRA (1) [ucd=phys.veloc;pos.heliocentric]
#    e_RVT (m/s) (F6.3)  Error of RVs with TERRA (1) [ucd=stat.error]
#    RVD (m/s)   (F10.3) Radial velocities with DRS (2) [ucd=phys.veloc;pos.heliocentric]
#    e_RVD (m/s) (F6.3)  Error of RVs with DRS (2) [ucd=stat.error]
#    SindT       (F7.4)  S index with TERRA (1) [ucd=spect.index]
#    e_SindT     (F7.4)  Error of S index with TERRA (1) [ucd=stat.error]
#    HalphaT     (F7.4)  Halpha index with TERRA (1) [ucd=spect.index;em.line.Halpha]
#    e_HalphaT   (F7.4)  Error of Halpha index with TERRA (1) [ucd=stat.error]
#    Sind        (F7.4)  S index with our method (3) [ucd=spect.index]
#    e_Sind      (F7.4)  Error of S index with our method [ucd=stat.error]
#    Halpha      (F7.4)  Halpha index with our method (3) [ucd=spect.index;em.line.Halpha]
#    e_Halpha    (F7.4)  Error of Halpha index with our method [ucd=stat.error]
#---------- ---- ------- ------ ---------- ------ ------- ------- ------- ------- ------- ------- ------- -------
#                RV      e_RVT             e_RVD                          e_                              e      
#BJD (d)    S/N  T (m/s) (m/s)  RVD (m/s)  (m/s)  SindT   e_SindT HalphaT HalphaT Sind    e_Sind  Halpha  _Halpha
#---------- ---- ------- ------ ---------- ------ ------- ------- ------- ------- ------- ------- ------- -------
 439.55832 54.1  -3.661  0.959 -44810.390  1.403  1.1013  0.0087  0.8357  0.0111  0.1025  0.0003  0.0591  0.0002
 439.65014 54.9  -4.089  0.839 -44810.869  1.372  1.0918  0.0085  0.8366  0.0106  0.0991  0.0004  0.0592  0.0001
 441.56648 56.9   3.221  0.945 -44805.754  1.317  1.1114  0.0083  0.8370  0.0098  0.1026  0.0002  0.0593  0.0001
 442.54349 62.7  -0.153  0.819 -44806.802  1.185  1.1127  0.0075  0.8367  0.0086  0.1016  0.0003  0.0591  0.0001
 443.53644 36.0   2.606  1.316 -44800.675  2.070  1.0772  0.0126  0.8348  0.0143  0.0982  0.0002  0.0589  0.0001
 443.63985 25.2   4.881  1.860 -44797.699  2.907  1.1528  0.0179  0.8366  0.0183  0.1066  0.0007  0.0591  0.0001
 444.49963 54.4   9.699  0.779 -44794.175  1.375  1.1731  0.0091  0.8348  0.0099  0.1050  0.0002  0.0589  0.0001
 444.72822 45.1   3.672  1.040 -44803.153  1.659  1.1090  0.0106  0.8326  0.0118  0.1023  0.0003  0.0587  0.0001
 483.60939 18.3  -2.992  2.562 -44805.750  4.157  1.2120  0.0258  0.8477  0.0249  0.1046  0.0003  0.0595  0.0001
 485.59901 40.5  -2.053  1.313 -44810.630  1.823  1.2590  0.0129  0.8427  0.0117  0.1143  0.0004  0.0594  0.0001
 536.50393 43.7  -0.322  1.182 -44809.067  1.696  1.1779  0.0122  0.8610  0.0107  0.1110  0.0003  0.0605  0.0001
 693.77578 37.3   6.167  1.136 -44800.357  1.907  1.2448  0.0138  0.8405  0.0116  0.1109  0.0001  0.0598  0.0001
 696.78604 27.5   0.727  1.817 -44805.115  2.626  1.3229  0.0184  0.8442  0.0160  0.1205  0.0007  0.0600  0.0001
 697.76988 34.2   1.860  1.722 -44806.957  2.162  1.2084  0.0148  0.8404  0.0139  0.1120  0.0005  0.0598  0.0001
 698.75906 31.5   2.978  1.142 -44808.249  2.357  1.2340  0.0160  0.8368  0.0153  0.1186  0.0003  0.0593  0.0001
 699.73995 43.7  -5.962  1.379 -44816.402  1.667  1.2525  0.0123  0.8440  0.0107  0.1165  0.0002  0.0601  0.0001
 700.76184 48.7  -2.033  1.096 -44810.392  1.561  1.2810  0.0111  0.8452  0.0114  0.1147  0.0003  0.0603  0.0001
 701.72684 43.4  -2.388  1.113 -44811.385  1.705  1.2905  0.0121  0.8591  0.0113  0.1143  0.0003  0.0613  0.0001
 702.74632 38.5  -5.141  1.050 -44813.856  1.816  1.2109  0.0128  0.8475  0.0110  0.1097  0.0002  0.0604  0.0001
 751.75401 40.0   1.987  1.011 -44805.977  1.815  1.4076  0.0144  0.8627  0.0140  0.1222  0.0006  0.0615  0.0001
 786.68698 25.0   0.206  1.864 -44802.902  2.846  1.2481  0.0203  0.8643  0.0190  0.1132  0.0004  0.0613  0.0001
 787.67840 36.6  -0.009  1.048 -44811.380  1.967  1.3257  0.0151  0.8607  0.0146  0.1156  0.0006  0.0610  0.0002
 792.55372 35.2  -8.221  1.142 -44815.792  2.029  1.1524  0.0140  0.8522  0.0143  0.1061  0.0003  0.0604  0.0002
 811.61597 43.3  -1.419  1.034 -44810.187  1.603  1.2914  0.0124  0.8521  0.0108  0.1102  0.0004  0.0601  0.0001
 817.50088 57.4   7.990  0.728 -44802.052  1.235  1.2861  0.0093  0.8547  0.0090  0.1141  0.0004  0.0603  0.0001
 818.51085 53.5   6.456  0.845 -44803.281  1.335  1.3160  0.0100  0.8613  0.0099  0.1146  0.0003  0.0609  0.0001
 819.54712 42.3   1.268  0.937 -44808.693  1.698  1.3058  0.0126  0.8706  0.0129  0.1139  0.0004  0.0617  0.0001
 820.60166 36.1   2.051  1.045 -44805.066  1.944  1.3172  0.0144  0.8725  0.0136  0.1152  0.0001  0.0618  0.0001
 821.58470 33.7  -1.340  1.146 -44812.067  2.136  1.2561  0.0151  0.8712  0.0154  0.1091  0.0002  0.0617  0.0001
 854.47373 58.1   0.191  0.865 -44806.984  1.243  1.3722  0.0095  0.8671  0.0101  0.1196  0.0004  0.0620  0.0001
